dataset,split,baseline,R-1,R-2,R-L
tldr,test,bart,0.17569410622936926,0.02745470633914545,0.15829483883010187
tldr,test,kl_sum,0.1805168865227341,0.030999443021007822,0.1768538828597304
tldr,test,lead_k,0.2114126915225571,0.03387200919939276,0.19676067687054244
tldr,test,lead_one,0.2565570208298483,0.06976944500110217,0.24190500617783367
tldr,test,random_k,0.19019022298746618,0.036436111916713504,0.1792012119984552
tldr,test,text_rank,0.17981372424403472,0.012820512435897448,0.16252067246822433
tosdr,test,bart,0.18653926698025325,0.03591434509582822,0.1754823802431086
tosdr,test,kl_sum,0.20237415898226582,0.05169296604034971,0.1876185908788716
tosdr,test,lead_k,0.25375916219582834,0.07579107231837104,0.23783217802176043
tosdr,test,lead_one,0.2473522358745585,0.07319366978219292,0.23142525170049055
tosdr,test,random_k,0.2062501715003082,0.0649724591610075,0.1889972533023099
tosdr,test,text_rank,0.07829798088069297,0.02594637939897318,0.0769511795338916
small_billsum,test,bart,0.231802112346165,0.09707387057945831,0.22135984994527405
small_billsum,test,kl_sum,0.23817762753312657,0.09714744884484629,0.20766190351684502
small_billsum,test,lead_k,0.33305473608815034,0.1609759320121586,0.3101825472131087
small_billsum,test,lead_one,0.017006142873337966,0.00039519369472013267,0.01693371236242301
small_billsum,test,random_k,0.29799830190192383,0.11962378021871704,0.2674245611330655
small_billsum,test,text_rank,0.3473824407742746,0.1605604673096048,0.29951341019161637
